split,image,target_class,reason,best_iou,best_prediction_class,best_prediction_confidence,ground_truth_count,target_prediction_count
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_016644fd4e101794.jpg,12,wrong_class_confusion,0.6389129591990944,8,0.9054230451583862,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_0694a67180747a02.jpg,12,false_positive,0.0,12,0.6464163064956665,1,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_1672edff1540ccf1.jpg,12,wrong_class_confusion,0.7190825715401515,10,0.2904198467731476,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_1db60b72b02ea720.jpg,12,wrong_class_confusion,0.7812961748326279,8,0.4203975200653076,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_238c6325053d8eb7.jpg,12,false_positive,0.0,12,0.8356468081474304,1,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_379c23710ec8a470.jpg,12,missed_or_low_iou,0.0,,0.0,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_5446fa8dcd7178c6.jpg,12,wrong_class_confusion,0.7997679195020411,10,0.7446525692939758,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_91d38b294e0fdd0a.jpg,12,wrong_class_confusion,0.806665099208831,0,0.8482891321182251,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_936f10e67a8830b8.jpg,12,wrong_class_confusion,0.8434862264556824,8,0.695655345916748,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_aa35b15299983568.jpg,12,wrong_class_confusion,0.8732828979975006,10,0.7163102626800537,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_c05fba3510b2dbba.jpg,12,false_positive,0.0,12,0.4324851334095001,1,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_cb6845003239e1c5.jpg,12,missed_or_low_iou,0.0,9,0.9243683815002441,3,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_d1a577ade9239d66.jpg,12,wrong_class_confusion,0.7584673971940948,15,0.7272042632102966,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/ip_d64560d9d6cde686.jpg,12,false_positive,0.0,12,0.5283024311065674,1,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_2a9858d32271ce46.jpg,6,missed_or_low_iou,0.18791680718041448,6,0.856543779373169,2,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_304388a83292615f.jpg,6,wrong_class_confusion,0.8391078570892053,3,0.4868432879447937,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_473e223da011c49b.jpg,6,wrong_class_confusion,0.9221079292139087,7,0.7091601490974426,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_5baacb20cda08631.jpg,6,missed_or_low_iou,0.0,6,0.9210063815116882,7,5
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_5baacb20cda08631.jpg,6,missed_or_low_iou,0.0,6,0.9210063815116882,7,5
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_5baacb20cda08631.jpg,6,missed_or_low_iou,0.0,6,0.9210063815116882,7,5
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_5baacb20cda08631.jpg,6,false_positive,0.09866713060420546,6,0.28667396306991577,7,5
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_6ee17b7dd5382ef6.jpg,6,false_positive,0.0,6,0.5790203809738159,2,2
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_6ee17b7dd5382ef6.jpg,6,false_positive,0.0,6,0.3315008878707886,2,2
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_779b8a9080bf0bc9.jpg,6,false_positive,0.0,6,0.4676969051361084,1,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_7a2a83c80559471e.jpg,6,missed_or_low_iou,0.21323882266196373,7,0.35200923681259155,2,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_7a2a83c80559471e.jpg,6,wrong_class_confusion,0.7825589552409139,7,0.6906014680862427,2,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_86c2132928c9be96.jpg,6,wrong_class_confusion,0.7974732171631402,7,0.2604435384273529,1,0
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_ca34b20f1f805c00.jpg,6,missed_or_low_iou,0.16153911160057674,6,0.41023194789886475,3,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_ca34b20f1f805c00.jpg,6,missed_or_low_iou,0.06294441564485949,6,0.41023194789886475,3,1
official,/root/autodl-tmp/crop-pest-system/data/official/images/all/pd_e4e73232fa0b01f3.jpg,6,wrong_class_confusion,0.9538859371233922,7,0.3004803955554962,1,0
