class_id`tcanonical_class`tseverity`tsearch_scope`tsearch_outcome`tpackaging_decision`tselected_asset`timage_type`tlicense_reuse_status`tretrieval_date`tseverity_assignment_basis
0	玉米叶枯病	mild	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/0-mild.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	少量分散的水渍状小圆斑，灰白中心和红褐边缘仍彼此分开，叶片大部分连续
0	玉米叶枯病	moderate	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/0-moderate.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	病斑在同一评估单位内明显增多或开始融合，出现黄化、穿孔或局部坏死，但仍可见完整绿色组织
0	玉米叶枯病	severe	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/0-severe.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	融合坏死跨越大片叶面，叶片连续干枯、穿孔或软化，主要功能叶组织明显失去功能
1	番茄斑枯病	mild	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/1-mild.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	少量鱼眼状圆斑，深褐边缘、灰白中心和黑色小粒点清楚，叶片主体完整
1	番茄斑枯病	moderate	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/1-moderate.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	鱼眼状病斑在叶片、茎段或果实上多处出现或局部相连，并伴黄化、落叶或坏死
1	番茄斑枯病	severe	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/1-severe.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	病斑大范围相连并造成明显落叶、干枯或果实、茎段组织失去完整性
2	南瓜白粉病	mild	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/2-mild.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	叶面仅见少量分散白色粉斑，粉状覆盖局限，叶片仍平展且大部分绿色
2	南瓜白粉病	moderate	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/2-moderate.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	白粉斑扩大并在叶面连续或相互连接，伴褪绿、黄化或轻度卷曲
2	南瓜白粉病	severe	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/2-severe.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	白色粉层覆盖大片叶面并持续连接，叶片明显黄化、灰褐化、卷曲或枯死
3	马铃薯早疫病	mild	slot-specific web search: Wikimedia Commons / official extension / academic / Plantwise	real candidates reviewed; none simultaneously met class-specific severity, clear redistribution permission, and clean single-slot product suitability	use generated fallback after real search; no unlicensed real asset copied	/severity-v2/3-mild.png	AI_ILLUSTRATION	not_applicable_internal_generated	2026-09-04	少量褐或暗褐病斑，可见同心轮纹，病斑彼此分开，叶、茎或块茎表面主体完整
